Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",120.205500,-117.983000,90.000000,top
"C2","0.1uF","C_0603_1608Metric",116.903500,-117.983000,90.000000,top
"C3","0.1uF","C_0603_1608Metric",113.347500,-117.983000,90.000000,top
"D4","GREEN LED","LED_0805_2012Metric",115.760500,-125.285500,90.000000,top
"R1","10k","R_0805_2012Metric",128.016000,-130.492500,90.000000,top
"R2","330","R_0805_2012Metric",125.857000,-73.660000,90.000000,top
"R3","330","R_0805_2012Metric",119.380000,-94.361000,90.000000,top
"R4","330","R_0805_2012Metric",119.380000,-86.360000,90.000000,top
"R5","330","R_0805_2012Metric",119.380000,-78.486000,90.000000,top
"R6","200","R_0805_2012Metric",120.586500,-125.412500,90.000000,top
